Site_Id,Unit_Id,Read_Date,Salinity (ppt),Dissolved Oxygen (mg/L),pH (standard units),Secchi Depth (m),Water Depth (m),Water Temp (?C),Air Temp-Celsius,Air Temp (?F),Time (24:00),Field_Tech,DateVerified,WhoVerified,AirTemp (C),Year
Bay,01csv,01/03/1994,1.3,11.7,7.3,0.4,0.4,5.9,8.0,46.4,11:00:00 AM,Not Recorded,10/30/2019,Christine Folks,8.0,1994
Bay,01csv,01/31/1994,1.5,12.0,7.4,0.2,0.35,3.0,2.6,36.68,11:30:00 AM,Not Recorded,10/30/2019,Christine Folks,2.6,1994
Bay,01csv,02/07/1994,1.0,10.5,7.2,0.25,0.6,5.9,7.6,45.68,09:45:00 AM,Not Recorded,10/30/2019,Christine Folks,7.6,1994
Bay,01csv,02/23/1994,1.0,10.1,7.4,0.35,0.5,10.0,2.7,36.86,12:00:00 AM,Not Recorded,10/30/2019,Christine Folks,2.7,1994
Bay,01csv,02/28/1994,1.0,12.6,7.2,0.2,0.4,1.6,0.0,32.0,10:30:00 AM,Not Recorded,10/30/2019,Christine Folks,0.0,1994
Bay,01csv,03/07/1994,1.0,9.9,7.1,0.2,0.9,9.7,15.2,59.36,10:00:00 AM,Not Recorded,10/30/2019,Christine Folks,15.2,1994
Bay,01csv,03/14/1994,0.5,10.4,7.2,0.25,0.75,9.8,10.1,50.18,11:00:00 AM,Not Recorded,10/30/2019,Christine Folks,10.1,1994
Bay,01csv,03/28/1994,1.0,9.2,7.1,0.15,0.95,16.1,22.1,71.78,09:50:00 AM,Not Recorded,10/30/2019,Christine Folks,22.1,1994
Bay,01csv,04/04/1994,1.0,9.2,7.2,0.25,0.75,15.0,13.5,56.3,10:00:00 AM,Not Recorded,10/30/2019,Christine Folks,13.5,1994
Bay,01csv,04/11/1994,1.0,8.6,7.3,0.2,0.75,15.7,13.0,55.4,10:00:00 AM,Not Recorded,10/30/2019,Christine Folks,13.0,1994
Bay,01csv,04/18/1994,1.0,8.8,7.6,0.2,0.7,17.5,16.6,61.88,10:30:00 AM,Not Recorded,10/30/2019,Christine Folks,16.6,1994
Bay,01csv,04/25/1994,1.0,10.0,7.9,0.2,0.5,19.3,22.1,71.78,11:00:00 AM,Not Recorded,10/30/2019,Christine Folks,22.1,1994
Bay,01csv,05/02/1994,1.3,9.8,7.5,0.2,0.65,16.1,13.0,55.4,10:30:00 AM,Not Recorded,10/30/2019,Christine Folks,13.0,1994
Bay,01csv,05/09/1994,1.0,10.1,7.9,0.25,0.75,18.8,19.5,67.1,10:45:00 AM,Not Recorded,10/30/2019,Christine Folks,19.5,1994
Bay,01csv,05/16/1994,1.0,8.2,7.8,0.25,0.8,22.1,22.3,72.14,10:00:00 AM,Not Recorded,10/30/2019,Christine Folks,22.3,1994
Bay,01csv,05/23/1994,1.0,10.8,9.1,0.05,0.05,21.7,24.3,75.74,11:00:00 AM,Not Recorded,10/30/2019,Christine Folks,24.3,1994
Bay,01csv,05/30/1994,1.0,8.7,8.5,0.35,0.8,22.3,22.7,72.86,12:00:00 AM,Not Recorded,10/30/2019,Christine Folks,22.7,1994
